Category;KNMI'14-klimaatscenario's;KNMI'14-klimaatscenario's 2050 (WH-range) (low);KNMI'14-klimaatscenario's 2050 (WH-range) (high);KNMI'14-klimaatscenario's 2050 (WH);KNMI'14-klimaatscenario's 2085 (WH-period);KNMI'14-klimaatscenario's 2085 (WH-range) (low);KNMI'14-klimaatscenario's 2085 (WH-range) (high);KNMI'14-klimaatscenario's 2085 (WH);KNMI'14-klimaatscenario's 2050 (WL-period);KNMI'14-klimaatscenario's 2050 (WL-range) (low);KNMI'14-klimaatscenario's 2050 (WL-range) (high);KNMI'14-klimaatscenario's 2050 (WL);KNMI'14-klimaatscenario's 2085 (WL-period);KNMI'14-klimaatscenario's 2085 (WL-range) (low);KNMI'14-klimaatscenario's 2085 (WL-range) (high);KNMI'14-klimaatscenario's 2085 (WL);KNMI'14-klimaatscenario's 2050 (GH-period);KNMI'14-klimaatscenario's 2050 (GH-range) (low);KNMI'14-klimaatscenario's 2050 (GH-range) (high);KNMI'14-klimaatscenario's 2050 (GH);KNMI'14-klimaatscenario's 2085 (GH-period);KNMI'14-klimaatscenario's 2085 (GH-range) (low);KNMI'14-klimaatscenario's 2085 (GH-range) (high);KNMI'14-klimaatscenario's 2085 (GH);KNMI'14-klimaatscenario's 2050 (GL-period);KNMI'14-klimaatscenario's 2050 (GL-range) (low);KNMI'14-klimaatscenario's 2050 (GL-range) (high);KNMI'14-klimaatscenario's 2050 (GL);KNMI'14-klimaatscenario's 2085 (GL-period);KNMI'14-klimaatscenario's 2085 (GL-range) (low);KNMI'14-klimaatscenario's 2085 (GL-range) (high);KNMI'14-klimaatscenario's 2085 (GL);Verwachting;Verwachting 2023;Sum;Trendline;Normaal ;Normaal 1960;Normaal 1990;Normaal 2020
1906;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;742;703;716;;;
1907;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;607;704;716;;;
1908;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;604;704;716;;;
1909;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;769;705;716;;;
1910;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;744;705;716;;;
1911;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;604;706;716;;;
1912;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;830;706;716;;;
1913;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;665;707;716;;;
1914;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;773;708;716;;;
1915;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;822;708;716;;;
1916;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;764;709;716;;;
1917;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;734;710;716;;;
1918;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;765;711;716;;;
1919;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;712;711;716;;;
1920;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;599;712;716;;;
1921;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;416;713;716;;;
1922;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;656;713;716;;;
1923;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;788;714;716;;;
1924;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;697;714;716;;;
1925;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;834;714;716;;;
1926;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;744;714;716;;;
1927;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;837;714;716;;;
1928;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;733;715;716;;;
1929;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;577;715;716;;;
1930;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;840;715;716;;;
1931;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;727;716;;740;;
1932;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;735;716;;740;;
1933;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;538;718;;740;;
1934;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;625;719;;740;;
1935;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;768;720;;740;;
1936;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;767;722;;740;;
1937;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;750;724;;740;;
1938;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;675;725;;740;;
1939;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;790;726;;740;;
1940;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;781;728;;740;;
1941;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;722;729;;740;;
1942;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;726;730;;740;;
1943;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;629;732;;740;;
1944;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;786;734;;740;;
1945;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;716;736;;740;;
1946;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;775;738;;740;;
1947;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;645;741;;740;;
1948;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;678;744;;740;;
1949;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;657;748;;740;;
1950;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;905;751;;740;;
1951;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;825;755;;740;;
1952;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;825;758;;740;;
1953;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;594;762;;740;;
1954;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;838;765;;740;;
1955;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;651;767;;740;;
