Category;KNMI'14-klimaatscenario's;KNMI'14-klimaatscenario's 2050 (WH-range) (low);KNMI'14-klimaatscenario's 2050 (WH-range) (high);KNMI'14-klimaatscenario's 2050 (WH);KNMI'14-klimaatscenario's 2085 (WH-period);KNMI'14-klimaatscenario's 2085 (WH-range) (low);KNMI'14-klimaatscenario's 2085 (WH-range) (high);KNMI'14-klimaatscenario's 2085 (WH);KNMI'14-klimaatscenario's 2050 (WL-period);KNMI'14-klimaatscenario's 2050 (WL-range) (low);KNMI'14-klimaatscenario's 2050 (WL-range) (high);KNMI'14-klimaatscenario's 2050 (WL);KNMI'14-klimaatscenario's 2085 (WL-period);KNMI'14-klimaatscenario's 2085 (WL-range) (low);KNMI'14-klimaatscenario's 2085 (WL-range) (high);KNMI'14-klimaatscenario's 2085 (WL);KNMI'14-klimaatscenario's 2050 (GH-period);KNMI'14-klimaatscenario's 2050 (GH-range) (low);KNMI'14-klimaatscenario's 2050 (GH-range) (high);KNMI'14-klimaatscenario's 2050 (GH);KNMI'14-klimaatscenario's 2085 (GH-period);KNMI'14-klimaatscenario's 2085 (GH-range) (low);KNMI'14-klimaatscenario's 2085 (GH-range) (high);KNMI'14-klimaatscenario's 2085 (GH);KNMI'14-klimaatscenario's 2050 (GL-period);KNMI'14-klimaatscenario's 2050 (GL-range) (low);KNMI'14-klimaatscenario's 2050 (GL-range) (high);KNMI'14-klimaatscenario's 2050 (GL);KNMI'14-klimaatscenario's 2085 (GL-period);KNMI'14-klimaatscenario's 2085 (GL-range) (low);KNMI'14-klimaatscenario's 2085 (GL-range) (high);KNMI'14-klimaatscenario's 2085 (GL);Verwachting;Verwachting 2023;Max_deficit;Trendline;Normaal;Normaal 1960;Normaal 1990;Normaal 2020
1906;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;143;148;152;;;
1907;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;114;149;152;;;
1908;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;126;149;152;;;
1909;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;105;149;152;;;
1910;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;87;150;152;;;
1911;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;328;150;152;;;
1912;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;153;150;152;;;
1913;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97;150;152;;;
1914;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;193;151;152;;;
1915;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;160;151;152;;;
1916;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;124;151;152;;;
1917;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;161;152;152;;;
1918;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;168;152;152;;;
1919;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;174;152;152;;;
1920;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;96;153;152;;;
1921;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;322;153;152;;;
1922;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;155;154;152;;;
1923;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;109;154;152;;;
1924;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;135;154;152;;;
